sma,coef.K27.I.FUS3,r.sqr.K27.I.FUS3,aic.K27.I.FUS3,loglik.K27.I.FUS3,coef.K27.II.FUS3,r.sqr.K27.II.FUS3,aic.K27.II.FUS3,loglik.K27.II.FUS3,coef.K27.III.FUS3,r.sqr.K27.III.FUS3,aic.K27.III.FUS3,loglik.K27.III.FUS3,coef.K27.IV.FUS3,r.sqr.K27.IV.FUS3,aic.K27.IV.FUS3,loglik.K27.IV.FUS3,coef.K27.V.FUS3,r.sqr.K27.V.FUS3,aic.K27.V.FUS3,loglik.K27.V.FUS3,coef.K27.VI.FUS3,r.sqr.K27.VI.FUS3,aic.K27.VI.FUS3,loglik.K27.VI.FUS3,coef.K27.VII.FUS3,r.sqr.K27.VII.FUS3,aic.K27.VII.FUS3,loglik.K27.VII.FUS3,coef.K27.VIII.FUS3,r.sqr.K27.VIII.FUS3,aic.K27.VIII.FUS3,loglik.K27.VIII.FUS3,coef.K27.I.STM,r.sqr.K27.I.STM,aic.K27.I.STM,loglik.K27.I.STM,coef.K27.II.STM,r.sqr.K27.II.STM,aic.K27.II.STM,loglik.K27.II.STM,coef.K27.III.STM,r.sqr.K27.III.STM,aic.K27.III.STM,loglik.K27.III.STM,coef.K27.IV.STM,r.sqr.K27.IV.STM,aic.K27.IV.STM,loglik.K27.IV.STM,coef.K27.V.STM,r.sqr.K27.V.STM,aic.K27.V.STM,loglik.K27.V.STM,coef.K27.VI.STM,r.sqr.K27.VI.STM,aic.K27.VI.STM,loglik.K27.VI.STM,coef.K27.VII.STM,r.sqr.K27.VII.STM,aic.K27.VII.STM,loglik.K27.VII.STM,coef.K27.VIII.STM,r.sqr.K27.VIII.STM,aic.K27.VIII.STM,loglik.K27.VIII.STM,coef.K4.I.ACT2,r.sqr.K4.I.ACT2,aic.K4.I.ACT2,loglik.K4.I.ACT2,coef.K4.II.ACT2,r.sqr.K4.II.ACT2,aic.K4.II.ACT2,loglik.K4.II.ACT2,coef.K4.III.ACT2,r.sqr.K4.III.ACT2,aic.K4.III.ACT2,loglik.K4.III.ACT2,coef.K4.IV.ACT2,r.sqr.K4.IV.ACT2,aic.K4.IV.ACT2,loglik.K4.IV.ACT2,coef.K4.V.ACT2,r.sqr.K4.V.ACT2,aic.K4.V.ACT2,loglik.K4.V.ACT2,coef.K4.VI.ACT2,r.sqr.K4.VI.ACT2,aic.K4.VI.ACT2,loglik.K4.VI.ACT2,coef.K4.VII.ACT2,r.sqr.K4.VII.ACT2,aic.K4.VII.ACT2,loglik.K4.VII.ACT2,coef.K4.VIII.ACT2,r.sqr.K4.VIII.ACT2,aic.K4.VIII.ACT2,loglik.K4.VIII.ACT2,coef.K4.I.PP2AA3,r.sqr.K4.I.PP2AA3,aic.K4.I.PP2AA3,loglik.K4.I.PP2AA3,coef.K4.II.PP2AA3,r.sqr.K4.II.PP2AA3,aic.K4.II.PP2AA3,loglik.K4.II.PP2AA3,coef.K4.III.PP2AA3,r.sqr.K4.III.PP2AA3,aic.K4.III.PP2AA3,loglik.K4.III.PP2AA3,coef.K4.IV.PP2AA3,r.sqr.K4.IV.PP2AA3,aic.K4.IV.PP2AA3,loglik.K4.IV.PP2AA3,coef.K4.V.PP2AA3,r.sqr.K4.V.PP2AA3,aic.K4.V.PP2AA3,loglik.K4.V.PP2AA3,coef.K4.VI.PP2AA3,r.sqr.K4.VI.PP2AA3,aic.K4.VI.PP2AA3,loglik.K4.VI.PP2AA3,coef.K4.VII.PP2AA3,r.sqr.K4.VII.PP2AA3,aic.K4.VII.PP2AA3,loglik.K4.VII.PP2AA3,coef.K4.VIII.PP2AA3,r.sqr.K4.VIII.PP2AA3,aic.K4.VIII.PP2AA3,loglik.K4.VIII.PP2AA3
1,-2.58326743825482,0.569931490102648,283.906871544427,-138.953435772214,-2.27281550317794,0.508185917742706,282.457610493801,-138.2288052469,-1.65118534610736,0.233219405650476,399.240757005585,-196.620378502792,-1.24032182623825,0.139681607638017,410.334922679484,-202.167461339742,-0.785294247761849,0.0520746697490403,444.239881049166,-219.119940524583,-0.621682558656608,0.031259855044361,453.888621002308,-223.944310501154,-0.626208186350263,0.0317138291730556,446.467691455619,-220.233845727809,-0.422987816392892,0.0372116973950252,265.665111986797,-129.832555993399,-2.48426194751366,0.551304177666362,283.40112555112,-138.70056277556,-2.17381000786938,0.484051002766125,283.955265444635,-138.977632722318,-1.55217985426065,0.215067603057338,395.39233780703,-194.696168903515,-1.14131632549294,0.122541767256247,407.187573331362,-200.593786665681,-0.686288755207232,0.0408452065525931,441.269055532624,-217.634527766312,-0.524884175836369,0.0226907973467022,452.042855745518,-223.021427872759,-0.527326185457277,0.0227707247887752,445.829436136079,-219.914718068039,-0.326189416957153,0.0221970572327421,268.121852250985,-131.060926125492,1.15794807762638,0.627999306916772,-85.4696722207275,45.7348361103638,1.15787452405408,0.606705415543282,-67.4633024448305,36.7316512224153,2.09960421643883,0.719129186043953,69.269486363177,-31.6347431815885,1.10931084860375,0.469916352058762,26.190790131904,-10.095395065952,0.620759010837928,0.231686501434642,9.63678137310153,-1.81839068655076,-1.56824306895541,0.568953117645238,84.4020772559672,-39.2010386279836,-1.91286081091848,0.632354811295013,110.530799944759,-52.2653999723793,-1.703495338798,0.651505215944932,48.370637864739,-21.1853189323695,0.982331093444456,0.574041141247778,-106.203225735993,56.1016128679965,0.982257539988815,0.55438640592086,-90.2434632798333,48.1217316399167,1.92398723003166,0.701168448889889,51.7854436599908,-22.8927218299954,0.933693862715438,0.405469090073572,9.70212775502328,-1.85106387751164,0.445142031024261,0.14324574499016,-5.42767487681606,5.71383743840803,-1.74251255605346,0.617296267839182,86.4291061452771,-40.2145530726386,-2.0873112019377,0.66523366621806,116.476331273413,-55.2381656367067,-1.87772605911078,0.691381583300512,51.0960196154014,-22.5480098077007
2,-2.61711527845432,0.581029896776769,278.677880214002,-136.338940107001,-2.30481806958155,0.519082538890803,277.976589167655,-135.988294583827,-1.67847531480047,0.239371151917819,397.629720865597,-195.814860432798,-1.27317502393752,0.146189282052895,408.816319292661,-201.408159646331,-0.83013327083068,0.0577997809121122,443.028294088992,-218.514147044496,-0.652954814971124,0.0343228812295869,453.261579770908,-223.630789885454,-0.684085537122773,0.0375415263991539,445.284487733257,-219.642243866628,-0.455747682697543,0.0429972410067342,264.471710135974,-129.235855067987,-2.5218927288943,0.564311093741877,277.517779266962,-135.758889633481,-2.20959551553,0.496755147419172,278.969049062084,-136.484524531042,-1.58325276406421,0.222259472733368,393.551409909101,-193.77570495455,-1.17795246433461,0.129657149768968,405.559145041393,-199.779572520696,-0.734910719537628,0.0465227474607686,440.08167448955,-217.040837244775,-0.559176547702474,0.0256323592432416,451.446005197739,-222.723002598869,-0.58790825786839,0.0280748347180187,444.762708850972,-219.381354425486,-0.361969399361308,0.0272061613921147,267.10492777618,-130.55246388809,1.15552414981335,0.621166327228179,-81.8293655735665,43.9146827867833,1.1563537950667,0.601042516894696,-64.6041138982131,35.3020569491066,2.1125980872616,0.723160451040986,66.378139545835,-30.1890697729175,1.10704832233648,0.464853444604981,28.0919549925521,-11.0459774962761,0.608004670473488,0.220768627356715,12.458813980537,-3.22940699026852,-1.56903647005791,0.565803755070898,85.8434675979378,-39.9217337989689,-1.91675658994357,0.631769907182846,110.843967507947,-52.4219837539737,-1.70698483176394,0.650078171637787,49.1756820596701,-21.587841029835,0.982248960748634,0.570084526500248,-104.354055695686,55.1770278478431,0.983078606078058,0.551578310085835,-88.9870900159672,47.4935450079836,1.93932289471008,0.707598826768579,47.4347836329517,-20.7173918164758,0.933773129729257,0.402810097805858,10.5946175573812,-2.29730877869061,0.43472948547025,0.135703665524662,-3.67476237282385,4.83738118641193,-1.74104387034833,0.612225294464829,89.0354535185512,-41.5177267592756,-2.08877289128636,0.662846816573353,117.875937463722,-55.9379687318611,-1.87892266856354,0.687925508727294,53.2898701284369,-23.6449350642184
3,-2.65251651454012,0.592526825362692,273.112987557194,-133.556493778597,-2.34177598897669,0.531977013935559,272.540939843326,-133.270469921663,-1.71307864195406,0.247534389815016,395.471675264256,-194.735837632128,-1.30848732636475,0.153291263372957,407.145765605723,-200.572882802862,-0.884288985179561,0.0651115497927893,441.47017784623,-217.735088923115,-0.685827386832612,0.0376095326717913,452.586543666812,-223.293271833406,-0.73096724096266,0.0428314569671788,444.204247658609,-219.102123829305,-0.493383935616949,0.0500509667772619,263.006917918325,-128.503458959162,-2.55780168639807,0.576286117686032,271.943769400408,-132.971884700204,-2.24706115632795,0.510018173011074,273.627342367215,-133.813671183608,-1.61836381225903,0.230542573851398,391.40994372228,-192.70497186114,-1.21377248792384,0.136664138753486,403.942460913676,-198.971230456838,-0.789574155432029,0.0533115229633796,438.652577167771,-216.326288583886,-0.592002830012338,0.0285357347693489,450.855133212319,-222.42756660616,-0.635289410450039,0.0327579888077526,443.81601379833,-218.908006899165,-0.399559363231042,0.0329258496148945,265.937320953048,-129.968660476524,1.14190906474785,0.602215519290663,-72.0667451280387,39.0333725640193,1.1397944593278,0.579716774769948,-54.1893184551066,30.0946592275533,2.11786464221287,0.721500027892526,67.5741128438732,-30.7870564219366,1.11253425296752,0.466067403088014,27.6377476489057,-10.8188738244528,0.592130985809931,0.207873032977325,15.7415493230979,-4.87077466154893,-1.5646192633914,0.55911846687114,88.8688279708075,-41.4344139854037,-1.92048262924851,0.630508979390472,111.517400902965,-52.7587004514824,-1.70603161681797,0.645223515540805,51.8899850834301,-22.9449925417151,0.966961949303323,0.548471312025086,-94.5439968980497,50.2719984490248,0.964847343949727,0.527456867485241,-78.5080966785609,42.2540483392805,1.94291752171784,0.705073893962156,49.1544029665949,-21.5772014832974,0.93758713594206,0.40316231856884,10.4766233743228,-2.23831168716138,0.417183874546725,0.124064480360712,-0.999404214280069,3.49970210714003,-1.73836960540988,0.606544713089276,91.914951097089,-42.9574755485445,-2.09421273671462,0.662396191920114,118.13906351059,-56.0695317552949,-1.87972595719429,0.684136018141329,55.6676148922516,-24.8338074461258
4,-2.688078434803,0.607110578863066,265.823607501383,-129.911803750692,-2.37726305749434,0.546951422390122,266.037328811687,-130.018664405843,-1.73654023934668,0.25377144259619,393.807002398032,-193.903501199016,-1.32807757948274,0.157549618411581,406.137367044826,-200.068683522413,-0.905126150342757,0.0680581171107185,440.838825395478,-217.419412697739,-0.689949143234913,0.0379090727720507,452.524907383398,-223.262453691699,-0.734028742015996,0.0431293055747821,444.143247521915,-219.071623760958,-0.499077076879134,0.0510056655855353,262.807827852569,-128.403913926285,-2.59134606901949,0.590129539595765,265.300316991862,-129.650158495931,-2.28053068716647,0.524106819490322,267.792365510099,-130.896182755049,-1.63980787172949,0.236143968153897,389.9486849846,-191.9743424923,-1.23134520319349,0.140323929945806,403.092833205415,-198.546416602707,-0.808393782841787,0.0557536459862879,438.1359809656,-216.0679904828,-0.594102155430911,0.0286222956227829,450.837489935862,-222.418744967931,-0.636515826070573,0.0328376239301231,443.799876030968,-218.899938015484,-0.403230073831975,0.0333980345112138,265.840621603491,-129.920310801745,1.13336947542427,0.591866867410185,-66.9301303913336,36.4650651956668,1.12811080026458,0.566576297042815,-48.0319287490097,27.0159643745048,2.13360524570285,0.730567244677437,60.9542895582076,-27.4771447791038,1.12135314549212,0.472388005294193,25.2560570632109,-9.62802853160545,0.584342537142999,0.201971310556311,17.2261208479418,-5.61306042397089,-1.56225683103138,0.556471179588299,90.0541701490479,-42.0270850745239,-1.92265650170226,0.631021267871644,111.244076649383,-52.6220383246913,-1.70846387451402,0.645809018338273,51.5645989893263,-22.7822994946631,0.956011058830697,0.534875964590025,-88.6109563503253,47.3054781751626,0.950752383764726,0.510971513438237,-71.6497538800339,38.8248769400169,1.95624682389258,0.713124418721791,43.6191569865411,-18.8095784932706,0.943994730375159,0.407744298632832,8.93528009260413,-1.46764004630207,0.406984123577827,0.117798422062417,0.426214945525544,2.78689252723723,-1.7382852367403,0.605441221069287,92.4694883122159,-43.234744156108,-2.09864724041368,0.664240281281285,117.060043047146,-55.5300215235731,-1.88446087981739,0.686252752970183,54.3429932424281,-24.171496621214
5,-2.72528046215398,0.624342973490553,256.853279991931,-125.426639995965,-2.41546278123663,0.564952414532099,257.928541193773,-125.964270596886,-1.77899755597649,0.266465289561375,390.375599923639,-192.18779996182,-1.36737246617691,0.167094064303888,403.858556489211,-198.929278244606,-0.942396555207289,0.0738152305865757,439.599484279291,-216.799742139645,-0.724247317924764,0.0417063982073883,451.741864815849,-222.870932407924,-0.764559536523625,0.0467964751821312,443.390642079743,-218.695321039871,-0.521229057874538,0.0555469610115693,261.858048913742,-127.929024456871,-2.62667687064501,0.606633958772376,257.080201283026,-125.540100641513,-2.31685918514752,0.541207919850752,260.473106440937,-127.236553220468,-1.68039396253852,0.248101873660006,386.792987597177,-190.396493798588,-1.26876886412671,0.149057562199317,401.050599218164,-197.525299609082,-0.84379296176502,0.0607737502209024,437.06984045211,-215.534920226055,-0.626579151351666,0.0317873247598994,450.191295428023,-222.095647714011,-0.665354922565559,0.0358842810581944,443.181482135236,-218.590741067618,-0.423560875751566,0.0367931224084038,265.143943173821,-129.57197158691,1.13859034471207,0.597630694176703,-69.7747480801764,37.8873740400882,1.13015693731413,0.56891750132462,-49.1151876086418,27.5575938043209,2.1483477288288,0.741068077306111,53.003557082453,-23.5017785412265,1.13156766857777,0.481273563878235,21.8591552863992,-7.92957764319961,0.588758405686264,0.205137858257277,16.430949751413,-5.21547487570651,-1.55626000051859,0.552220174580958,91.9428657822884,-42.9714328911442,-1.91935545906918,0.628847383095935,112.401321327339,-53.2006606636696,-1.70549708512846,0.643557137177844,52.8131240263224,-23.4065620131612,0.960074668457187,0.539702175264251,-90.6970339055758,48.3485169527879,0.951641261155168,0.512183126376429,-72.1458870896087,39.0729435448044,1.96983204771999,0.723424648282991,36.3060962971265,-15.1530481485632,0.953051995750036,0.41581374723337,6.19155776007631,-0.0957788800381554,0.410242731808757,0.119752123821778,-0.0171912594101151,3.00859562970506,-1.73339628753787,0.602054453905716,94.1618045797215,-44.0809022898608,-2.09645736727756,0.662845372047701,117.876781504229,-55.9383907521144,-1.88260916584162,0.684893158066596,55.1948303157108,-24.5974151578554
6,-2.79039769104237,0.6412302228959,247.654145950688,-120.827072975344,-2.47352803773219,0.580397852589162,250.69885664977,-122.349428324885,-1.83977445578218,0.279190131974465,386.875695614663,-190.437847807331,-1.41606151123376,0.175562821533476,401.814602918925,-197.907301459462,-0.985639262780367,0.0791034716804117,438.454270898702,-216.227135449351,-0.769608326177877,0.0460935883525688,450.833314280522,-222.416657140261,-0.804252967014577,0.0506664812000304,442.59326236172,-218.29663118086,-0.546958184271275,0.0598664388837197,260.950414192922,-127.475207096461,-2.68986559645348,0.623240305416693,248.453598946339,-121.22679947317,-2.37299593842166,0.556211300495739,253.823391266872,-123.911695633436,-1.73924235922903,0.26038081388041,383.49990677859,-188.749953389295,-1.31552940580903,0.156989664986321,399.177545638367,-196.588772819183,-0.885107165999789,0.0655114038662833,436.058445628177,-215.029222814089,-0.670406683715869,0.0356164704263193,449.406680584847,-221.703340292424,-0.703476613733141,0.0392501848938221,442.496013137499,-218.248006568749,-0.447756525015796,0.0402430535392467,264.433490810397,-129.216745405198,1.16001271095789,0.607721149112684,-74.8542274599431,40.4271137299716,1.14879904932683,0.57589176899535,-52.3773475216413,29.1886737608206,2.18926896676837,0.753925002826554,42.8177922066901,-18.4088961033451,1.15781319607758,0.493615614691368,17.0430331836727,-5.52151659183635,0.612909907357218,0.217793950104692,13.2208505009438,-3.61042525047188,-1.57199376470247,0.550975927102727,92.4922861388003,-43.2461430694002,-1.94251418994945,0.629718141357333,111.938598154842,-52.9692990774208,-1.72841086454389,0.646280940914211,51.3019419965426,-22.6509709982713,0.97745394697983,0.548046878700329,-94.3560868143608,50.1780434071804,0.96624028544308,0.517285104691969,-74.2486622803556,40.1243311401778,2.00671019854573,0.735504226592025,27.374489898907,-10.6872449494535,0.975254434824607,0.426562304310559,2.47744455753928,1.76127772123036,0.430351145941494,0.129100615801104,-2.15260979367034,4.07630489683517,-1.7531944042084,0.602258902979451,94.0600536760444,-44.0300268380222,-2.12369929043698,0.664981515606898,116.624658531356,-55.3123292656778,-1.9096024940313,0.689018149572608,52.5989198795416,-23.2994599397708
7,-2.79961511611559,0.655676504487579,239.434289158856,-116.717144579428,-2.48208357786377,0.593657707060818,244.276635888842,-119.138317944421,-1.86456723653776,0.291298452986711,383.487514039207,-188.743757019603,-1.44380282744869,0.185393829969483,399.415367696338,-196.707683848169,-1.01612943298848,0.0854021496197338,437.081626506715,-215.540813253358,-0.806184374031318,0.0513036913494097,449.748901900579,-221.874450950289,-0.834630698119389,0.0552965098536533,441.635005031522,-217.817502515761,-0.562251557204438,0.064167536563862,260.042488546355,-127.021244273178,-2.69877876570514,0.637294434821009,240.85036306817,-117.425181534085,-2.38124722273598,0.568939356787392,248.003438582468,-121.001719291234,-1.76373088417234,0.271997302859419,380.333769311759,-187.166884655879,-1.34296646630246,0.166192517008608,396.982210086553,-195.491105043277,-0.915293080209526,0.0711634077268421,434.845126293427,-214.422563146713,-0.706782149872298,0.0401535743994387,448.472958241441,-221.23647912072,-0.733566616038073,0.0432508959154602,441.678134712408,-217.839067356204,-0.462849315942356,0.0436179439530843,263.736016366161,-128.86800818308,1.16490809970894,0.622548756808681,-82.5605350527024,44.2802675263512,1.15285461601745,0.589132535869769,-58.7209462562758,32.3604731281379,2.18730313561816,0.764467525969684,34.0602805852636,-14.0301402926318,1.16096472639766,0.50415158259086,12.8378800433657,-3.41894002168286,0.62414674107474,0.229423092309294,10.2251041667897,-2.11255208339485,-1.5593296042605,0.549997225791179,92.9233810206964,-43.4616905103482,-1.93054555498314,0.630901643070464,111.307934710792,-52.6539673553958,-1.7178497149679,0.647668403573415,50.5276901958723,-22.2638450979362,0.983607122000404,0.563740991246929,-101.424554169267,53.7122770846335,0.971553638416726,0.531256727841894,-80.1228574907177,43.0614287453589,2.00600215411955,0.746603176255658,18.8007822267181,-6.40039111335904,0.979663749667541,0.437231928649445,-1.27889546152092,3.63944773076046,0.442845765669261,0.138866843954144,-4.4080712656077,5.20403563280385,-1.73932064734184,0.601362089775509,94.5059948367871,-44.2529974183935,-2.11053511291628,0.66618130141928,115.917885449421,-54.9589427247105,-1.89783185901457,0.690422894207428,51.7070298730518,-22.8535149365259
8,-2.83167833690692,0.680139536235823,224.694937268368,-109.347468634184,-2.51436816781219,0.617700950974029,232.078088434961,-113.039044217481,-1.92569874696055,0.315047471742948,376.670523107926,-185.335261553963,-1.51064505650695,0.20578873164598,394.344315178655,-194.172157589327,-1.09117434961668,0.0998564814011523,433.895577474394,-213.947788737197,-0.885380041213436,0.0626435406349414,447.367932234346,-220.683966117173,-0.911828091896278,0.0668019607410352,439.233285286846,-216.616642643423,-0.608494804084656,0.0760860012943623,257.504628281495,-125.752314140747,-2.729609968178,0.661034262766638,227.311891516353,-110.655945758177,-2.41229979439364,0.592020555913139,236.997040038353,-115.498520019177,-1.82363037628294,0.294842996041612,373.956914434778,-183.978457217389,-1.40857667735599,0.185378488625063,392.326422522756,-193.163211261378,-0.98910597828844,0.0842634534731844,432.004302967504,-213.002151483752,-0.784744006423352,0.0501124989402825,446.407869585458,-220.203934792729,-0.809477876322731,0.0533065062407338,439.607236476466,-216.803618238233,-0.507858752393263,0.0531629166855729,261.749991313008,-127.874995656504,1.18095510843072,0.648745025609918,-96.946339197937,51.4731695989685,1.16795839046318,0.613106452253229,-70.7451674601276,38.3725837300638,2.19280328923833,0.779036239501688,21.2902626861403,-7.64513134307014,1.16937836154946,0.518621377296456,6.91464962201675,-0.457324811008375,0.637207081506556,0.24246112966094,6.81218115965802,-0.40609057982901,-1.53582690610612,0.54075150410105,96.9502458803237,-45.4751229401618,-1.90466213000546,0.622482422011858,115.751067459768,-54.8755337298838,-1.69483943532446,0.638903011079989,55.3687331599367,-24.6843665799684,1.00061498146757,0.59154462109817,-114.595243565441,60.2976217827204,0.987618263626924,0.556629636186595,-91.2528110895406,48.6264055447703,2.0124631588573,0.761903805625862,6.34438958679051,-0.172194793395253,0.989038234860066,0.451857168712517,-6.54523502588611,6.27261751294306,0.456866956562672,0.149861574587022,-6.97806238573758,6.48903119286879,-1.71490472205208,0.592495799820565,98.8615450044782,-46.4307725022391,-2.08372668573578,0.658231148944668,120.554597121558,-57.2772985607792,-1.87391621634016,0.682174521248511,56.8871905551732,-25.4435952775866
9,-2.87365200220488,0.702461322321505,210.226812384275,-102.113406192137,-2.55503428031109,0.639672789967827,220.239964874857,-107.119982437428,-1.98903290594401,0.337075450423544,370.132852731916,-182.066426365958,-1.57182617220495,0.223434194677523,389.850690811177,-191.925345405589,-1.15462511504127,0.112127940739557,431.15026537073,-212.575132685365,-0.954985071960015,0.0730252420983136,445.162746676771,-219.581373338386,-0.987532268539231,0.0785041629061693,436.759926108033,-215.379963054016,-0.651561120871758,0.0874106468738353,255.062696178491,-124.531348089245,-2.77084635594029,0.683111431851363,213.842123492221,-103.921061746111,-2.45222862929522,0.61353596805637,226.161442389199,-110.080721194599,-1.88622725762611,0.316336348840799,367.766030422785,-180.883015211393,-1.46902051544445,0.202207824522186,388.151328452388,-191.075664226194,-1.05181946592833,0.0955608255887881,429.521571863848,-211.760785931924,-0.853700584466318,0.0594243173635863,444.457284168004,-219.228642084002,-0.884484017225689,0.0637642202570319,437.430061739326,-215.715030869663,-0.550276615851864,0.0625385821702493,259.779605957624,-126.889802978812,1.20094636385614,0.672819190406799,-111.146225176188,58.5731125880941,1.18726229550141,0.635357821947297,-82.5917766862565,44.2958883431282,2.20895531261778,0.792822665647496,8.4055438431791,-1.20277192158955,1.18180211308689,0.53121914233097,1.61090701485249,2.19454649257376,0.65359699009795,0.255826134340908,3.25215073721483,1.37392463139259,-1.52180144295985,0.532029904020803,100.675209471595,-47.3376047357976,-1.89071091200973,0.614924136529999,119.656243974335,-56.8281219871674,-1.68128783649192,0.630063705148989,60.1330255084195,-27.0665127542097,1.01915848253576,0.615433084119786,-126.648217456872,66.3241087284361,1.00547441431892,0.578594142054344,-101.414621895976,53.7073109479882,2.02716742858699,0.775295724472067,-5.23352307905146,5.61676153952573,1.00001423184847,0.463266888256597,-10.7522193607094,8.37610968035469,0.471809111183228,0.16028294956113,-9.44490224081994,7.72245112040997,-1.70239463376552,0.585103417346983,102.421199089123,-48.2105995445614,-2.07126343750516,0.65200012816733,124.113890096067,-59.0569450480335,-1.8618828735095,0.674873502722749,61.3614360021184,-27.6807180010592
10,-2.88650449064021,0.71543196486095,201.312440137748,-97.656220068874,-2.57032412664369,0.653446440874184,212.44493349189,-103.222466745945,-2.02448394072834,0.352485824513233,365.428753494224,-179.714376747112,-1.60900548433884,0.236333590235529,386.500625273631,-190.250312636816,-1.19669098008608,0.121580990798417,429.009476576866,-211.504738288433,-1.00114860149872,0.081053985005563,443.440353014444,-218.720176507222,-1.03776177752284,0.0875432622192457,434.827839274434,-214.413919637217,-0.679716864942154,0.0960743697081516,253.173991550007,-123.586995775003,-2.78455514949054,0.696382915403018,205.285548546321,-99.6427742731604,-2.46837478068906,0.627494767732656,218.803898654625,-106.401949327312,-1.9225345974349,0.331725753505143,363.212546287028,-178.606273143514,-1.50705613269442,0.214818108735877,384.964782004251,-189.482391002126,-1.09474163594364,0.104493807297916,427.536388265531,-210.768194132765,-0.900857374040383,0.0668286305440729,442.892439394446,-218.446219697223,-0.935696766761067,0.0720617193921837,435.68524551729,-214.842622758645,-0.579425619550447,0.0700291322772358,258.191182230655,-126.095591115328,1.21221227514189,0.691955711562001,-123.200102447176,64.6000512235878,1.19940450399636,0.654524905131805,-93.3909731556242,49.6954865778121,2.21006254771539,0.80108965554195,0.261359569673253,2.86932021516337,1.18334224618086,0.537619146899027,-1.13839217807362,3.56919608903681,0.66287080788982,0.265614882539385,0.603925991518878,2.69803700424056,-1.50479688467925,0.525314730141391,103.496233926661,-48.7481169633306,-1.87161078591677,0.608579717116041,122.875521865565,-58.4377609327824,-1.66288557327882,0.622523268261959,64.1081140202894,-29.0540570101447,1.02853835321365,0.63271505776645,-135.844187685225,70.9220938426126,1.015730582212,0.596017262582903,-109.85947280464,57.92973640232,2.02638862375176,0.781994004989838,-11.2860519329184,8.64302596645921,0.999668323749199,0.467305139258107,-12.2626605682089,9.13133028410447,0.479196888729705,0.166898508261171,-11.0268056027366,8.5134028013683,-1.68730843889515,0.580423329462166,104.642162106669,-49.3210810533346,-2.05407512903378,0.647626734136705,126.574206678639,-60.2871033393193,-1.84539066358471,0.669614482294305,64.5224741813451,-29.2612370906725
11,-2.87675125175095,0.72428971976479,194.988088295312,-94.4940441476559,-2.56409909595732,0.662807870448751,206.968034848552,-100.484017424276,-2.0362041183534,0.363445621739988,362.014585817197,-178.007292908598,-1.62703989124945,0.246314875189724,383.869348684548,-188.934674342274,-1.22301421032209,0.12943403311255,427.213441688933,-210.606720844466,-1.03337247890133,0.0880221212297402,441.93324762535,-217.966623812675,-1.06288593447472,0.0936094329681986,433.520446540441,-213.760223270221,-0.694137804019242,0.102127714782202,251.843579494617,-122.921789747308,-2.77596115521772,0.705418855712576,199.242984588406,-96.6214922942028,-2.46330899459616,0.636956138550566,213.658413320305,-103.829206660153,-1.93541401961553,0.34265925076748,359.913324346052,-176.956662173026,-1.52624978433968,0.224567599736698,382.465864010213,-188.232932005107,-1.12222411082495,0.111920671347764,425.870775512775,-209.935387756387,-0.934387843667297,0.0732834002389386,441.518109809117,-217.759054904559,-0.962144525020848,0.0776665293800981,434.49780251928,-214.24890125964,-0.595153151078082,0.0753080840500046,257.064039029343,-125.532019514671,1.21325492254346,0.706494690005321,-132.869669484491,69.4348347422455,1.20173970596292,0.669729580879087,-102.392730259028,54.1963651295138,2.19405508682272,0.804731280302378,-3.43414706784855,4.71707353392428,1.176015612745,0.541207738648926,-2.69667035514947,4.34833517757474,0.660028813230612,0.268413430156607,-0.159677027843546,3.07983851392177,-1.48680099949298,0.522851449869954,104.52105689963,-49.2605284498152,-1.84800780375463,0.604992399689588,124.672778676418,-59.3363893382088,-1.64156370994643,0.618602832772293,66.1435843756369,-30.0717921878184,1.02967129346477,0.646320949679036,-143.393806041719,74.6969030208594,1.01815607703187,0.610399727625596,-117.10964820495,61.5548241024749,2.01047145579209,0.784580669397113,-13.6732637218085,9.83663186090427,0.99243198202293,0.46943345003095,-13.0633342666734,9.53166713333671,0.476445187084901,0.168164452799563,-11.3309479823582,8.66547399117912,-1.66927224011935,0.579187341003489,105.224572860042,-49.6122864300208,-2.03042944580839,0.645243811328371,127.901934062078,-60.9509670310389,-1.82402255834924,0.667074242138727,66.0313577946458,-30.0156788973229
